ecoli,0.7489438775510204
wisconsin,0.9654459888218735
thyroid,0.5975248742397075
wdbc,0.9641161616161616
sonar,0.8491161616161618
dermatology,0.9731746031746032
monk,0.9487303426208973
saheart,0.5708064516129032
page-blocks,0.7908443053429332
haberman,0.557973759332455
cleveland,0.33168767507002805
spambase,0.9070243409855735
crx,0.6853938595967495
texture,0.9883636363636364
winequality-red,0.3615463756854127
contraceptive,0.43554915461936333
spectfheart,0.6052597402597403
bupa,0.6466706429535377
yeast,0.5374200870469068
titanic,0.532115183644747
marketing,0.2625626443127892
ring,0.6985590595732644
heart,0.8066666666666666
balance,0.6091954022988505
twonorm,0.9605419086827279
australian,0.8481981629010491
segment,0.974025974025974
mammographic,0.802010097984439
winequality-white,0.43408577290819084
satimage,0.9009014511959463
glass,0.6970238095238095
pima,0.6714831094831094
vowel,0.9868686868686869
vehicle,0.7091991341991342
wine,0.9672619047619048
automobile,0.7032222222222222
phoneme,0.8738530758208473
banana,0.8874301419684478
german,0.5492857142857142
ionosphere,0.870524222154657
bands,0.7123857105289331
movement_libras,0.8655555555555555